Machine_ID,Temperature,Vibration,Pressure,Sound_Level,Hours_Used,Failure
M1,90.0,0.8,50.64816793878959,62.51042364586356,71,1
M2,60.0,0.4,49.22983543916737,55.0,100,0
M3,73.38135163347754,0.5217998877202162,48.646155999388085,59.19471259862205,98,0
M4,77.71871643160661,0.4704870057940972,51.22335257768174,60.33581189585255,154,0
M5,68.81461766254357,0.4871282126168929,52.0619990449919,54.10696943624016,115,0
M6,68.8585375908469,0.4718578451070129,51.8625602382324,59.35254033621882,102,0
M7,78.04035554763682,0.5938258041185346,48.32156495355472,61.103441209955875,84,0
M8,73.96876873928349,0.5013928485507008,49.38157524829757,64.49028339065532,141,0
M9,67.754641087872,0.44807554762620494,50.66252686280713,58.51616116515893,123,0
M10,72.76764407375077,0.5428635681581757,51.95109025424472,57.65151717831642,89,0
M11,67.79167766958514,0.44149606807004066,49.04165152430942,58.569642371389236,153,0
M12,67.78107277666652,0.513971439996382,49.62868204667237,62.7823825236643,146,0
M13,71.28304890667437,0.40597317065836414,47.787330051987944,61.061874796546924,113,0
M14,60.57246633698616,0.4360688979073072,47.60758675183866,58.44617810249761,126,0
M15,61.48397776008223,0.5119624070032034,51.6250516447884,61.573818925452706,120,0
M16,67.26641978182141,0.5380658637942473,52.71248005714165,60.34116173560715,113,0
M17,65.12108958692728,0.5098064662554488,49.85597975683933,62.96618686431142,75,0
M18,71.71745395565135,0.4968568907795906,52.00706579578405,57.94048350108374,97,0
M19,65.49463656034492,0.4869923412737345,50.72327205009527,59.093940285849015,61,0
M20,63.01945274155159,0.43118873413652486,48.709760490789755,58.861365701047035,64,0
M21,77.39106249409352,0.4654753279872489,50.722791211016826,55.644594421681745,119,0
M22,68.9492624088403,0.4793136451279078,53.07607313293194,60.95867955384049,143,0
M23,70.41631851881499,0.5544305972679544,49.928347921780095,60.822062708263495,118,0
M24,63.045329434087684,0.5169421431023973,53.12928731162801,60.074065557150625,63,0
M25,67.38300490297824,0.4156033891911752,44.76050979182051,59.34330480557361,62,0
